Task ID,开发波次,波次定位,模块,开发内容,标准化任务类型,任务成熟度,执行策略,执行人/跟进人,确认人,目标完成时间,交付物/产出预期,验收标准/回执要求,计划周次/预计完成,依赖/阻塞/需澄清,备注/整改建议,截图来源,是否进入当前开发
T011,Wave 4｜日常运维,日常运维需要，非优先级,底层数据维护,PMS 更新机制（全量）,数据更新机制,开口项,【建议】作为模块A合同关联报价/项目的最小数据底座，优先完成入库、映射、前端联调和验收证据。,Junhe,Gu,,数据脚本,本地脚本可跑通,,【建议】依赖客户/产品/PID映射、特殊产品识别规则、前端调用字段。,,截图1,否｜后置Wave4
T012,Backlog｜B3B4/BA cost等F依赖数据，暂不抢当前资源,后置数据：主要服务模块F/成本展示，当前不进入第一轮开发,底层数据维护,B3B4 cost ETL,数据/ETL,开口项,【建议】暂不抢占第一轮资源；保留状态跟踪，等模块F/Dashboard或成本展示启动时再集中处理。,Gu,Gu,,数据脚本,本地脚本可跑通,,,,截图1,否｜Backlog
T013,Backlog｜B3B4/BA cost等F依赖数据，暂不抢当前资源,后置数据：主要服务模块F/成本展示，当前不进入第一轮开发,底层数据维护,B3B4 cost 客户主数据对齐，缺部分客户的命名和颗粒度 - Nina-> Qiuzheng,数据对齐,开口项,【建议】暂不抢占第一轮资源；保留状态跟踪，等模块F/Dashboard或成本展示启动时再集中处理。,Junhe,Gu,,数据脚本,本地脚本可跑通,,,,截图1,否｜Backlog
T014,Backlog｜B3B4/BA cost等F依赖数据，暂不抢当前资源,后置数据：主要服务模块F/成本展示，当前不进入第一轮开发,底层数据维护,B3B4 cost 产品主数据对齐,数据对齐,开口项,【建议】暂不抢占第一轮资源；保留状态跟踪，等模块F/Dashboard或成本展示启动时再集中处理。,Junhe,Gu,,数据脚本,本地脚本可跑通,,,,截图1,否｜Backlog
T015,Backlog｜B3B4/BA cost等F依赖数据，暂不抢当前资源,后置数据：主要服务模块F/成本展示，当前不进入第一轮开发,底层数据维护,B3B4 cost 一次性入库 + 前端联调,数据入库/联调,开口项,【建议】暂不抢占第一轮资源；保留状态跟踪，等模块F/Dashboard或成本展示启动时再集中处理。,Junhe,SCP Admin,,前端联调截图,真实数据可调用，无bug,,,,截图1,否｜Backlog
T016,Backlog｜B3B4/BA cost等F依赖数据，暂不抢当前资源,后置数据：主要服务模块F/成本展示，当前不进入第一轮开发,底层数据维护,B3B4 cost页面增删改查,前端/CRUD,开口项,【建议】暂不抢占第一轮资源；保留状态跟踪，等模块F/Dashboard或成本展示启动时再集中处理。,Junhe,Gu,,数据脚本,本地脚本可跑通,,,,截图1,否｜Backlog
T017,Backlog｜B3B4/BA cost等F依赖数据，暂不抢当前资源,后置数据：主要服务模块F/成本展示，当前不进入第一轮开发,底层数据维护,B3B4 cost 更新机制（CF版本增量）,数据更新机制,开口项,【建议】暂不抢占第一轮资源；保留状态跟踪，等模块F/Dashboard或成本展示启动时再集中处理。,Junhe,Gu,,数据脚本,本地脚本可跑通,,,,截图1,否｜Backlog
T018,Wave 1｜A/C主流程 + SF/PMS/SO/KE30数据底座,模块C直接/后续依赖：支撑开票闭环、关闭状态与调账依据,底层数据维护,SO ETL 缺DX PID匹配,数据/ETL,开发中,【建议】作为模块C开票闭环与后续调账依据，纳入第一轮；优先保证可关联、可追溯、可用于关闭状态判断。,Gu,Gu,8-Jun,数据脚本,本地脚本可跑通,【建议】W1：补齐GitHub版本、测试截图、样本回执后关闭。,,,截图1,是｜当前开发主线
T019,Wave 1｜A/C主流程 + SF/PMS/SO/KE30数据底座,模块C直接/后续依赖：支撑开票闭环、关闭状态与调账依据,底层数据维护,SO客户主数据对齐，缺Global - Lulu,数据对齐,开发中,【建议】作为模块C开票闭环与后续调账依据，纳入第一轮；优先保证可关联、可追溯、可用于关闭状态判断。,Junhe,Gu,8-Jun,数据脚本,本地脚本可跑通,【建议】W1：补齐GitHub版本、测试截图、样本回执后关闭。,,,截图1,是｜当前开发主线
T020,Wave 1｜A/C主流程 + SF/PMS/SO/KE30数据底座,模块C直接/后续依赖：支撑开票闭环、关闭状态与调账依据,底层数据维护,SO 一次性入库 + 前端联调,数据入库/联调,开发中,【建议】作为模块C开票闭环与后续调账依据，纳入第一轮；优先保证可关联、可追溯、可用于关闭状态判断。,Junhe,SCP代表,12-Jun,前端联调截图,真实数据可调用，无bug,【建议】W1：作为实习生+Claude Code主线跟踪，明确每日阻塞与预计完成日。,,,截图1,是｜当前开发主线
T021,Wave 4｜日常运维,日常运维需要，非优先级,底层数据维护,SO页面增删改查,前端/CRUD,开口项,【建议】作为模块C开票闭环与后续调账依据，纳入第一轮；优先保证可关联、可追溯、可用于关闭状态判断。,Junhe,SCP代表,,前端联调截图,真实数据可调用，无bug,,【建议】依赖DX PID匹配、Global客户映射、开票关闭状态与调账口径。,,截图1,否｜后置Wave4
T022,Wave 4｜日常运维,日常运维需要，非优先级,底层数据维护,SO 更新机制（年增量）,数据更新机制,开口项,【建议】作为模块C开票闭环与后续调账依据，纳入第一轮；优先保证可关联、可追溯、可用于关闭状态判断。,Junhe,Gu,,数据脚本,本地脚本可跑通,,【建议】依赖DX PID匹配、Global客户映射、开票关闭状态与调账口径。,,截图1,否｜后置Wave4
T023,Wave 1｜A/C主流程 + SF/PMS/SO/KE30数据底座,模块C直接/后续依赖：支撑开票闭环、关闭状态与调账依据,底层数据维护,KE30 ETL,数据/ETL,关闭,【建议】作为模块C开票闭环与后续调账依据，纳入第一轮；优先保证可关联、可追溯、可用于关闭状态判断。,Gu,Gu,,数据脚本,本地脚本可跑通,【建议】W1：补齐GitHub版本、测试截图、样本回执后关闭。,,,截图1,是｜当前开发主线
T024,Wave 1｜A/C主流程 + SF/PMS/SO/KE30数据底座,模块C直接/后续依赖：支撑开票闭环、关闭状态与调账依据,底层数据维护,KE30 客户主数据对齐,数据对齐,开发中,【建议】作为模块C开票闭环与后续调账依据，纳入第一轮；优先保证可关联、可追溯、可用于关闭状态判断。,Junhe,Gu,8-Jun,数据脚本,本地脚本可跑通,【建议】W1：补齐GitHub版本、测试截图、样本回执后关闭。,,,截图1,是｜当前开发主线
T025,Wave 1｜A/C主流程 + SF/PMS/SO/KE30数据底座,模块C直接/后续依赖：支撑开票闭环、关闭状态与调账依据,底层数据维护,KE30 一次性入库 + 前端联调,数据入库/联调,开发中,【建议】作为模块C开票闭环与后续调账依据，纳入第一轮；优先保证可关联、可追溯、可用于关闭状态判断。,Junhe,SCP代表,12-Jun,前端联调截图,真实数据可调用，无bug,【建议】W1：作为实习生+Claude Code主线跟踪，明确每日阻塞与预计完成日。,,,截图1,是｜当前开发主线
T026,Wave 4｜日常运维,日常运维需要，非优先级,底层数据维护,KE30页面增删改查,前端/CRUD,开口项,【建议】作为模块C开票闭环与后续调账依据，纳入第一轮；优先保证可关联、可追溯、可用于关闭状态判断。,Junhe,SCP代表,,前端联调截图,真实数据可调用，无bug,,【建议】依赖DX PID匹配、Global客户映射、开票关闭状态与调账口径。,,截图1,否｜后置Wave4
T027,Wave 4｜日常运维,日常运维需要，非优先级,底层数据维护,KE30更新机制（月增量）,数据更新机制,开口项,【建议】作为模块C开票闭环与后续调账依据，纳入第一轮；优先保证可关联、可追溯、可用于关闭状态判断。,Junhe,Gu,,数据脚本,本地脚本可跑通,,【建议】依赖DX PID匹配、Global客户映射、开票关闭状态与调账口径。,,截图1,否｜后置Wave4
T028,Backlog｜B3B4/BA cost等F依赖数据，暂不抢当前资源,后置数据：主要服务模块F/成本展示，当前不进入第一轮开发,底层数据维护,BA cost ETL,数据/ETL,开口项,【建议】暂不抢占第一轮资源；保留状态跟踪，等模块F/Dashboard或成本展示启动时再集中处理。,【建议】暂不投入第一轮开发资源；只保留状态跟踪。,【建议】Admin确认；涉及客户/产品缺失项需对应业务确认,,【建议】暂仅保留数据状态台账；后续F启动时再补数据清洗、增量机制、展示口径。,【建议】不作为当前验收对象；只需确认状态不影响A/C主线。,【建议】暂不排期；等模块F或成本展示启动时再处理。,【建议】当前不阻塞A/C；后续依赖Dashboard/成本展示口径。,【建议】根据最新优先级，该项虽可能已有进度，但不应占用第一轮A/C主线资源。,截图1,否｜Backlog
T029,Backlog｜B3B4/BA cost等F依赖数据，暂不抢当前资源,后置数据：主要服务模块F/成本展示，当前不进入第一轮开发,底层数据维护,BA cost 客户主数据对齐,数据对齐,开口项,【建议】暂不抢占第一轮资源；保留状态跟踪，等模块F/Dashboard或成本展示启动时再集中处理。,【建议】暂不投入第一轮开发资源；只保留状态跟踪。,【建议】Admin确认；涉及客户/产品缺失项需对应业务确认,,【建议】暂仅保留数据状态台账；后续F启动时再补数据清洗、增量机制、展示口径。,【建议】不作为当前验收对象；只需确认状态不影响A/C主线。,【建议】暂不排期；等模块F或成本展示启动时再处理。,【建议】当前不阻塞A/C；后续依赖Dashboard/成本展示口径。,【建议】根据最新优先级，该项虽可能已有进度，但不应占用第一轮A/C主线资源。,截图1,否｜Backlog
T030,Backlog｜B3B4/BA cost等F依赖数据，暂不抢当前资源,后置数据：主要服务模块F/成本展示，当前不进入第一轮开发,底层数据维护,BA cost 产品主数据对齐,数据对齐,开口项,【建议】暂不抢占第一轮资源；保留状态跟踪，等模块F/Dashboard或成本展示启动时再集中处理。,【建议】暂不投入第一轮开发资源；只保留状态跟踪。,【建议】Admin确认；涉及客户/产品缺失项需对应业务确认,,【建议】暂仅保留数据状态台账；后续F启动时再补数据清洗、增量机制、展示口径。,【建议】不作为当前验收对象；只需确认状态不影响A/C主线。,【建议】暂不排期；等模块F或成本展示启动时再处理。,【建议】当前不阻塞A/C；后续依赖Dashboard/成本展示口径。,"【建议】补充原文缺失的用户/状态信息，避免后续无法派工或验收
【建议】根据最新优先级，该项虽可能已有进度，但不应占用第一轮A/C主线资源。
【建议】原文状态缺失，需补充真实状态后才能派工验收。",截图1,否｜Backlog
T031,Backlog｜B3B4/BA cost等F依赖数据，暂不抢当前资源,后置数据：主要服务模块F/成本展示，当前不进入第一轮开发,底层数据维护,BA cost 一次性入库 + 前端联调,数据入库/联调,开口项,【建议】暂不抢占第一轮资源；保留状态跟踪，等模块F/Dashboard或成本展示启动时再集中处理。,【建议】暂不投入第一轮开发资源；只保留状态跟踪。,【建议】Admin确认；涉及客户/产品缺失项需对应业务确认,,【建议】暂仅保留数据状态台账；后续F启动时再补数据清洗、增量机制、展示口径。,【建议】不作为当前验收对象；只需确认状态不影响A/C主线。,【建议】暂不排期；等模块F或成本展示启动时再处理。,【建议】当前不阻塞A/C；后续依赖Dashboard/成本展示口径。,【建议】根据最新优先级，该项虽可能已有进度，但不应占用第一轮A/C主线资源。,截图1,否｜Backlog
T032,Backlog｜B3B4/BA cost等F依赖数据，暂不抢当前资源,后置数据：主要服务模块F/成本展示，当前不进入第一轮开发,底层数据维护,BA cost页面增删改查,前端/CRUD,开口项,【建议】暂不抢占第一轮资源；保留状态跟踪，等模块F/Dashboard或成本展示启动时再集中处理。,【建议】暂不投入第一轮开发资源；只保留状态跟踪。,【建议】Admin确认；涉及客户/产品缺失项需对应业务确认,,【建议】暂仅保留数据状态台账；后续F启动时再补数据清洗、增量机制、展示口径。,【建议】不作为当前验收对象；只需确认状态不影响A/C主线。,【建议】暂不排期；等模块F或成本展示启动时再处理。,【建议】当前不阻塞A/C；后续依赖Dashboard/成本展示口径。,【建议】根据最新优先级，该项虽可能已有进度，但不应占用第一轮A/C主线资源。,截图1,否｜Backlog
T033,Backlog｜B3B4/BA cost等F依赖数据，暂不抢当前资源,后置数据：主要服务模块F/成本展示，当前不进入第一轮开发,底层数据维护,BA cost 更新机制（CF版本增量）,数据更新机制,开口项,【建议】暂不抢占第一轮资源；保留状态跟踪，等模块F/Dashboard或成本展示启动时再集中处理。,【建议】暂不投入第一轮开发资源；只保留状态跟踪。,【建议】Admin确认；涉及客户/产品缺失项需对应业务确认,,【建议】暂仅保留数据状态台账；后续F启动时再补数据清洗、增量机制、展示口径。,【建议】不作为当前验收对象；只需确认状态不影响A/C主线。,【建议】暂不排期；等模块F或成本展示启动时再处理。,【建议】当前不阻塞A/C；后续依赖Dashboard/成本展示口径。,【建议】根据最新优先级，该项虽可能已有进度，但不应占用第一轮A/C主线资源。,截图1,否｜Backlog
T034,Wave 1｜A/C主流程 + SF/PMS/SO/KE30数据底座,第一轮主功能：合同登记可运行、可联动、可验收,模块A-合同登记,1 增加“是否在已有BCS中”选项（Step 1）： “是”必填，“否”则选填（Step 2）,前端字段/校验,关闭,【建议】纳入第一轮主功能，由实习生配合Claude Code推进；重点不是单点字段，而是合同登记主流程可跑通。,Junhe,AM SCP代表,8-Jun,前端联调截图+UAT回执,前后端真实响应、无bug、符合用户预期,【建议】W1：补齐GitHub版本、测试截图、样本回执后关闭。,,,截图2,是｜当前开发主线
T035,Wave 1｜A/C主流程 + SF/PMS/SO/KE30数据底座,第一轮主功能：合同登记可运行、可联动、可验收,模块A-合同登记,2 增加 Step4 Allocation，至少要 by 产品分配，by 项目默认均分 可改,分配逻辑/前端,关闭,【建议】纳入第一轮主功能，由实习生配合Claude Code推进；重点不是单点字段，而是合同登记主流程可跑通。,Junhe,AM CM代表,8-Jun,前端联调截图+UAT回执,前后端真实响应、无bug、符合用户预期,【建议】W1：补齐GitHub版本、测试截图、样本回执后关闭。,,,截图2,是｜当前开发主线
T036,Wave 1｜A/C主流程 + SF/PMS/SO/KE30数据底座,第一轮主功能：合同登记可运行、可联动、可验收,模块A-合同登记,3 增加 编辑功能 可修改合同关联资源 - 锁定的时间节点？（PID能不能编辑，会影响CF计划）,编辑/锁定规则,关闭,【建议】纳入第一轮主功能，由实习生配合Claude Code推进；重点不是单点字段，而是合同登记主流程可跑通。,Junhe,AM SCP代表,8-Jun,前端联调截图+UAT回执,前后端真实响应、无bug、符合用户预期,【建议】W1：补齐GitHub版本、测试截图、样本回执后关闭。,,【建议】该条含规则问题，需拆成“规则确认→原型/字段→开发→UAT”后才能精确排期,截图2,是｜当前开发主线
T037,Wave 1｜A/C主流程 + SF/PMS/SO/KE30数据底座,第一轮主功能：合同登记可运行、可联动、可验收,模块A-合同登记,4 重建 合同补充&替换 操作（补充：计划的时候是针对？还是父？）,合同状态/操作流,澄清中,【建议】纳入第一轮主功能，由实习生配合Claude Code推进；重点不是单点字段，而是合同登记主流程可跑通。,Junhe,AM CM代表,8-Jun,前端联调截图+UAT回执,前后端真实响应、无bug、符合用户预期,【建议】W1：补齐GitHub版本、测试截图、样本回执后关闭。,补充添加后，list页面应该展示总和还是什么？ -> Ivan 反馈：主合同和补充合同 的金额分开显示，不加总。 待补充（sammi）：如果CM收到有补充的合同包 会单独plan和开票 还是打包开票？,【建议】该条含规则问题，需拆成“规则确认→原型/字段→开发→UAT”后才能精确排期,截图2,是｜当前开发主线
T038,Wave 1｜A/C主流程 + SF/PMS/SO/KE30数据底座,第一轮主功能：合同登记可运行、可联动、可验收,模块A-合同登记,5 增加 一个签字状态 已单签、有归档功能，非必填,字段/流程,关闭,【建议】纳入第一轮主功能，由实习生配合Claude Code推进；重点不是单点字段，而是合同登记主流程可跑通。,Junhe,CM代表,8-Jun,前端联调截图+UAT回执,前后端真实响应、无bug、符合用户预期,【建议】W1：补齐GitHub版本、测试截图、样本回执后关闭。,,,截图2,是｜当前开发主线
T039,Wave 1｜A/C主流程 + SF/PMS/SO/KE30数据底座,第一轮主功能：合同登记可运行、可联动、可验收,模块A-合同登记,6 增加 双签归档的 入库向导Step1 对应字段（客户合同编号&备注信息）,入库向导/字段,开发中,【建议】纳入第一轮主功能，由实习生配合Claude Code推进；重点不是单点字段，而是合同登记主流程可跑通。,Junhe,CM代表,19-Jun,前端联调截图+UAT回执,前后端真实响应、无bug、符合用户预期,【建议】W1-W2：进入第一轮开发/澄清清单；先补规则、样本和验收口径，再开发。,,,截图2,是｜当前开发主线
T040,Wave 1｜A/C主流程 + SF/PMS/SO/KE30数据底座,第一轮主功能：合同登记可运行、可联动、可验收,模块A-合同登记,7 增加 CM双签归档Allocation节点,流程节点,关闭,【建议】纳入第一轮主功能，由实习生配合Claude Code推进；重点不是单点字段，而是合同登记主流程可跑通。,Junhe,CM代表,8-Jun,前端联调截图+UAT回执,前后端真实响应、无bug、符合用户预期,【建议】W1：补齐GitHub版本、测试截图、样本回执后关闭。,,,截图2,是｜当前开发主线
T041,Wave 1｜A/C主流程 + SF/PMS/SO/KE30数据底座,第一轮主功能：合同登记可运行、可联动、可验收,模块A-合同登记,8 增加 所有金额 未税标注,字段标注/UI,关闭,【建议】纳入第一轮主功能，由实习生配合Claude Code推进；重点不是单点字段，而是合同登记主流程可跑通。,Junhe,CM代表,8-Jun,前端联调截图+UAT回执,前后端真实响应、无bug、符合用户预期,【建议】W1：补齐GitHub版本、测试截图、样本回执后关闭。,,,截图2,是｜当前开发主线
T042,Wave 1｜A/C主流程 + SF/PMS/SO/KE30数据底座,第一轮主功能：合同登记可运行、可联动、可验收,模块A-合同登记,9 增加 剩余未开 LT OTP 列,计算列,澄清中,【建议】纳入第一轮主功能，由实习生配合Claude Code推进；重点不是单点字段，而是合同登记主流程可跑通。,Junhe,SCP代表,8-Jun,前端联调截图+UAT回执,前后端真实响应、无bug、符合用户预期,【建议】W1：补齐GitHub版本、测试截图、样本回执后关闭。,特关合同未开票金额应归零处理，特关的evidnce和comments存档在哪,,截图2,是｜当前开发主线
T043,Wave 1｜A/C主流程 + SF/PMS/SO/KE30数据底座,第一轮主功能：合同登记可运行、可联动、可验收,模块A-合同登记,10 增加 特殊关闭的合同参与LT OTP加总计算其已开票金额,计算逻辑,澄清中,【建议】纳入第一轮主功能，由实习生配合Claude Code推进；重点不是单点字段，而是合同登记主流程可跑通。,Junhe,SCP代表,8-Jun,前端联调截图+UAT回执,前后端真实响应、无bug、符合用户预期,【建议】W1：补齐GitHub版本、测试截图、样本回执后关闭。,LT OTP 的展示逻辑需要有一列承担，比如特关OTP ，只取已开票OTP，未关OTP取 合同OTP总额。‘,,截图2,是｜当前开发主线
T044,Wave 1｜A/C主流程 + SF/PMS/SO/KE30数据底座,第一轮主功能：合同登记可运行、可联动、可验收,模块A-合同登记,和Ivan对齐Step3展示字段 -> 根据用户需求优化step2资源关联 -> UI 优化,UI优化/字段展示,开发中,【建议】纳入第一轮主功能，由实习生配合Claude Code推进；重点不是单点字段，而是合同登记主流程可跑通。,Junhe,AM代表,19-Jun,前端联调截图+UAT回执,前后端真实响应、无bug、符合用户预期,【建议】W1-W2：进入第一轮开发/澄清清单；先补规则、样本和验收口径，再开发。,,,截图2,是｜当前开发主线
T045,Wave 1｜A/C主流程 + SF/PMS/SO/KE30数据底座,第一轮主功能：合同登记可运行、可联动、可验收,模块A-合同登记,"需要找Guiping要一份带有多个付款时间节点合同来对合同识别调整；需要找Samim要一份真实合同用于验证合同识别能否抓取该信息；-> 特殊款识别 -> 合同识别及合同信息数据结构调整，前端交互功能调整
• 数据验证
• 结构调整
• UI调整",样本收集/识别/结构/UI,开口项,【建议】纳入第一轮主功能，由实习生配合Claude Code推进；重点不是单点字段，而是合同登记主流程可跑通。,Gu,AM CM代表,,合同样本验证+数据建模+前端设计截图,满足90%合同格式和特殊要求，数据录入无遗漏,【建议】W1-W2：进入第一轮开发/澄清清单；先补规则、样本和验收口径，再开发。,,【建议】该条含规则问题，需拆成“规则确认→原型/字段→开发→UAT”后才能精确排期,截图2,是｜当前开发主线
T046,Wave 1｜A/C主流程 + SF/PMS/SO/KE30数据底座,第一轮主功能：合同登记可运行、可联动、可验收,模块A-合同登记,需要和CM确认世博合同编号改造规则 -> 年月日-两位序号-客户名-合同类型，两位序号 by 同年月日自增 -> 编号规则改造,编号规则/开发,可开发,【建议】纳入第一轮主功能，由实习生配合Claude Code推进；重点不是单点字段，而是合同登记主流程可跑通。,Junhe,CM代表,19-Jun,前端联调截图+UAT回执,前后端真实响应、无bug、符合用户预期,【建议】W1-W2：进入第一轮开发/澄清清单；先补规则、样本和验收口径，再开发。,,,截图2,是｜当前开发主线
T047,Wave 1｜A/C主流程 + SF/PMS/SO/KE30数据底座,第一轮主功能：日常开票执行闭环可运行,模块C-开票登记,1 增加 开票填写区域 高亮,UI高亮,关闭,【建议】纳入第一轮主功能，围绕日常开票、特殊关闭、计划内外判定与权限漏洞形成可验收闭环。,Junhe,CM代表,8-Jun,前端联调截图+UAT回执,前后端真实响应、无bug、符合用户预期,【建议】W1：补齐GitHub版本、测试截图、样本回执后关闭。,,,截图3,是｜当前开发主线
T048,Wave 1｜A/C主流程 + SF/PMS/SO/KE30数据底座,第一轮主功能：日常开票执行闭环可运行,模块C-开票登记,2 保持 开票workon填写,前端填写/状态,关闭,【建议】纳入第一轮主功能，围绕日常开票、特殊关闭、计划内外判定与权限漏洞形成可验收闭环。,Junhe,CM代表,8-Jun,前端联调截图+UAT回执,前后端真实响应、无bug、符合用户预期,【建议】W1：补齐GitHub版本、测试截图、样本回执后关闭。,,,截图3,是｜当前开发主线
T049,Wave 1｜A/C主流程 + SF/PMS/SO/KE30数据底座,第一轮主功能：日常开票执行闭环可运行,模块C-开票登记,3 增加 开票金额可为负数,字段校验,关闭,【建议】纳入第一轮主功能，围绕日常开票、特殊关闭、计划内外判定与权限漏洞形成可验收闭环。,Junhe,CM代表,8-Jun,前端联调截图+UAT回执,前后端真实响应、无bug、符合用户预期,【建议】W1：补齐GitHub版本、测试截图、样本回执后关闭。,,,截图3,是｜当前开发主线
T050,Wave 4｜日常运维,日常运维需要，非优先级,模块C-开票登记,"需要和CM/SCP/一起确认合同特殊关闭权限 -> CM关账权限管控及触发后的邮件通知
• 触发机制
• 邮件功能",权限/触发/邮件,开口项,【建议】纳入第一轮主功能，围绕日常开票、特殊关闭、计划内外判定与权限漏洞形成可验收闭环。,Gu,SCP CM代表,,触发规则+邮件通知方案,业务确认方案和邮件正文内容,,【建议】依赖SO/KE30数据可用、RF月版本机制、特殊关闭权限和计划内外判定。,【建议】该条涉及跨模块流程，需拆成规则、数据版本、权限、通知、UAT四类任务,截图3,否｜后置Wave4
T051,Wave 1｜A/C主流程 + SF/PMS/SO/KE30数据底座,第一轮主功能：日常开票执行闭环可运行,模块C-开票登记,"和模块b之间有计划执行的版本交替。模块b最晚在五月底锁定6月份的开票计划RF2605for06，模块c在6月份应根据RF2605for06区分金额，并引导用户做计划外的开票小行。
• 增加存取和提交RF月版本的功能
• 联动同步RF月CF计划",版本/联动/开票计划,开口项,【建议】纳入第一轮主功能，围绕日常开票、特殊关闭、计划内外判定与权限漏洞形成可验收闭环。,Gu,SCP CM代表,,版本管理方案+前端设计截图,业务确认方案,【建议】W1-W2：进入第一轮开发/澄清清单；先补规则、样本和验收口径，再开发。,,【建议】该条涉及跨模块流程，需拆成规则、数据版本、权限、通知、UAT四类任务,截图3,是｜当前开发主线
