Task ID,????,????,??,????,???????,?????,????,???/???,???,??????,???/????,????/????,????/????,??/??/???,??/????,????,????????
T011,Wave 4?????,???????????,??????,PMS ????????,??????,???,????????A??????/??????????????????????????????,Junhe,Gu,,????,???????,,????????/??/PID???????????????????,,??1,????Wave4
T012,Backlog?B3B4/BA cost?F????????????,???????????F/???????????????,??????,B3B4 cost ETL,??/ETL,???,????????????????????????F/Dashboard??????????????,Gu,Gu,,????,???????,,,,??1,??Backlog
T013,Backlog?B3B4/BA cost?F????????????,???????????F/???????????????,??????,B3B4 cost ???????????????????? - Nina-> Qiuzheng,????,???,????????????????????????F/Dashboard??????????????,Junhe,Gu,,????,???????,,,,??1,??Backlog
T014,Backlog?B3B4/BA cost?F????????????,???????????F/???????????????,??????,B3B4 cost ???????,????,???,????????????????????????F/Dashboard??????????????,Junhe,Gu,,????,???????,,,,??1,??Backlog
T015,Backlog?B3B4/BA cost?F????????????,???????????F/???????????????,??????,B3B4 cost ????? + ????,????/??,???,????????????????????????F/Dashboard??????????????,Junhe,SCP Admin,,??????,?????????bug,,,,??1,??Backlog
T016,Backlog?B3B4/BA cost?F????????????,???????????F/???????????????,??????,B3B4 cost??????,??/CRUD,???,????????????????????????F/Dashboard??????????????,Junhe,Gu,,????,???????,,,,??1,??Backlog
T017,Backlog?B3B4/BA cost?F????????????,???????????F/???????????????,??????,B3B4 cost ?????CF?????,??????,???,????????????????????????F/Dashboard??????????????,Junhe,Gu,,????,???????,,,,??1,??Backlog
T018,Wave 1?A/C??? + SF/PMS/SO/KE30????,??C??/?????????????????????,??????,SO ETL ?DX PID??,??/ETL,???,????????C????????????????????????????????????????,Gu,Gu,8-Jun,????,???????,????W1???GitHub????????????????,,,??1,????????
T019,Wave 1?A/C??? + SF/PMS/SO/KE30????,??C??/?????????????????????,??????,SO?????????Global - Lulu,????,???,????????C????????????????????????????????????????,Junhe,Gu,8-Jun,????,???????,????W1???GitHub????????????????,,,??1,????????
T020,Wave 1?A/C??? + SF/PMS/SO/KE30????,??C??/?????????????????????,??????,SO ????? + ????,????/??,???,????????C????????????????????????????????????????,Junhe,SCP??,12-Jun,??????,?????????bug,????W1??????+Claude Code??????????????????,,,??1,????????
T021,Wave 4?????,???????????,??????,SO??????,??/CRUD,???,????????C????????????????????????????????????????,Junhe,SCP??,,??????,?????????bug,,??????DX PID???Global?????????????????,,??1,????Wave4
T022,Wave 4?????,???????????,??????,SO ?????????,??????,???,????????C????????????????????????????????????????,Junhe,Gu,,????,???????,,??????DX PID???Global?????????????????,,??1,????Wave4
T023,Wave 1?A/C??? + SF/PMS/SO/KE30????,??C??/?????????????????????,??????,KE30 ETL,??/ETL,??,????????C????????????????????????????????????????,Gu,Gu,,????,???????,????W1???GitHub????????????????,,,??1,????????
T024,Wave 1?A/C??? + SF/PMS/SO/KE30????,??C??/?????????????????????,??????,KE30 ???????,????,???,????????C????????????????????????????????????????,Junhe,Gu,8-Jun,????,???????,????W1???GitHub????????????????,,,??1,????????
T025,Wave 1?A/C??? + SF/PMS/SO/KE30????,??C??/?????????????????????,??????,KE30 ????? + ????,????/??,???,????????C????????????????????????????????????????,Junhe,SCP??,12-Jun,??????,?????????bug,????W1??????+Claude Code??????????????????,,,??1,????????
T026,Wave 4?????,???????????,??????,KE30??????,??/CRUD,???,????????C????????????????????????????????????????,Junhe,SCP??,,??????,?????????bug,,??????DX PID???Global?????????????????,,??1,????Wave4
T027,Wave 4?????,???????????,??????,KE30?????????,??????,???,????????C????????????????????????????????????????,Junhe,Gu,,????,???????,,??????DX PID???Global?????????????????,,??1,????Wave4
T028,Backlog?B3B4/BA cost?F????????????,???????????F/???????????????,??????,BA cost ETL,??/ETL,???,????????????????????????F/Dashboard??????????????,????????????????????????,????Admin???????/????????????,,?????????????????F????????????????????,???????????????????????A/C???,????????????F????????????,?????????A/C?????Dashboard/???????,??????????????????????????????A/C?????,??1,??Backlog
T029,Backlog?B3B4/BA cost?F????????????,???????????F/???????????????,??????,BA cost ???????,????,???,????????????????????????F/Dashboard??????????????,????????????????????????,????Admin???????/????????????,,?????????????????F????????????????????,???????????????????????A/C???,????????????F????????????,?????????A/C?????Dashboard/???????,??????????????????????????????A/C?????,??1,??Backlog
T030,Backlog?B3B4/BA cost?F????????????,???????????F/???????????????,??????,BA cost ???????,????,???,????????????????????????F/Dashboard??????????????,????????????????????????,????Admin???????/????????????,,?????????????????F????????????????????,???????????????????????A/C???,????????????F????????????,?????????A/C?????Dashboard/???????,"?????????????/????????????????
??????????????????????????????A/C?????
??????????????????????????",??1,??Backlog
T031,Backlog?B3B4/BA cost?F????????????,???????????F/???????????????,??????,BA cost ????? + ????,????/??,???,????????????????????????F/Dashboard??????????????,????????????????????????,????Admin???????/????????????,,?????????????????F????????????????????,???????????????????????A/C???,????????????F????????????,?????????A/C?????Dashboard/???????,??????????????????????????????A/C?????,??1,??Backlog
T032,Backlog?B3B4/BA cost?F????????????,???????????F/???????????????,??????,BA cost??????,??/CRUD,???,????????????????????????F/Dashboard??????????????,????????????????????????,????Admin???????/????????????,,?????????????????F????????????????????,???????????????????????A/C???,????????????F????????????,?????????A/C?????Dashboard/???????,??????????????????????????????A/C?????,??1,??Backlog
T033,Backlog?B3B4/BA cost?F????????????,???????????F/???????????????,??????,BA cost ?????CF?????,??????,???,????????????????????????F/Dashboard??????????????,????????????????????????,????Admin???????/????????????,,?????????????????F????????????????????,???????????????????????A/C???,????????????F????????????,?????????A/C?????Dashboard/???????,??????????????????????????????A/C?????,??1,??Backlog
T034,Wave 1?A/C??? + SF/PMS/SO/KE30????,??????????????????????,??A-????,1 ????????BCS?????Step 1?? ?????????????Step 2?,????/??,??,???????????????????Claude Code?????????????????????????,Junhe,AM SCP??,8-Jun,??????+UAT??,?????????bug???????,????W1???GitHub????????????????,,,??2,????????
T035,Wave 1?A/C??? + SF/PMS/SO/KE30????,??????????????????????,??A-????,2 ?? Step4 Allocation???? by ?????by ?????? ??,????/??,??,???????????????????Claude Code?????????????????????????,Junhe,AM CM??,8-Jun,??????+UAT??,?????????bug???????,????W1???GitHub????????????????,,,??2,????????
T036,Wave 1?A/C??? + SF/PMS/SO/KE30????,??????????????????????,??A-????,3 ?? ???? ????????? - ?????????PID?????????CF???,??/????,??,???????????????????Claude Code?????????????????????????,Junhe,AM SCP??,8-Jun,??????+UAT??,?????????bug???????,????W1???GitHub????????????????,,???????????????????????/??????UAT????????,??2,????????
T037,Wave 1?A/C??? + SF/PMS/SO/KE30????,??????????????????????,??A-????,4 ?? ????&?? ????????????????????,????/???,???,???????????????????Claude Code?????????????????????????,Junhe,AM CM??,8-Jun,??????+UAT??,?????????bug???????,????W1???GitHub????????????????,??????list????????????? -> Ivan ??????????? ???????????? ????sammi????CM????????? ???plan??? ???????,???????????????????????/??????UAT????????,??2,????????
T038,Wave 1?A/C??? + SF/PMS/SO/KE30????,??????????????????????,??A-????,5 ?? ?????? ?????????????,??/??,??,???????????????????Claude Code?????????????????????????,Junhe,CM??,8-Jun,??????+UAT??,?????????bug???????,????W1???GitHub????????????????,,,??2,????????
T039,Wave 1?A/C??? + SF/PMS/SO/KE30????,??????????????????????,??A-????,6 ?? ????? ????Step1 ???????????&?????,????/??,???,???????????????????Claude Code?????????????????????????,Junhe,CM??,19-Jun,??????+UAT??,?????????bug???????,????W1-W2????????/??????????????????????,,,??2,????????
T040,Wave 1?A/C??? + SF/PMS/SO/KE30????,??????????????????????,??A-????,7 ?? CM????Allocation??,????,??,???????????????????Claude Code?????????????????????????,Junhe,CM??,8-Jun,??????+UAT??,?????????bug???????,????W1???GitHub????????????????,,,??2,????????
T041,Wave 1?A/C??? + SF/PMS/SO/KE30????,??????????????????????,??A-????,8 ?? ???? ????,????/UI,??,???????????????????Claude Code?????????????????????????,Junhe,CM??,8-Jun,??????+UAT??,?????????bug???????,????W1???GitHub????????????????,,,??2,????????
T042,Wave 1?A/C??? + SF/PMS/SO/KE30????,??????????????????????,??A-????,9 ?? ???? LT OTP ?,???,???,???????????????????Claude Code?????????????????????????,Junhe,SCP??,8-Jun,??????+UAT??,?????????bug???????,????W1???GitHub????????????????,??????????????????evidnce?comments????,,??2,????????
T043,Wave 1?A/C??? + SF/PMS/SO/KE30????,??????????????????????,??A-????,10 ?? ?????????LT OTP??????????,????,???,???????????????????Claude Code?????????????????????????,Junhe,SCP??,8-Jun,??????+UAT??,?????????bug???????,????W1???GitHub????????????????,LT OTP ?????????????????OTP ??????OTP???OTP? ??OTP????,,??2,????????
T044,Wave 1?A/C??? + SF/PMS/SO/KE30????,??????????????????????,??A-????,?Ivan??Step3???? -> ????????step2???? -> UI ??,UI??/????,???,???????????????????Claude Code?????????????????????????,Junhe,AM??,19-Jun,??????+UAT??,?????????bug???????,????W1-W2????????/??????????????????????,,,??2,????????
T045,Wave 1?A/C??? + SF/PMS/SO/KE30????,??????????????????????,??A-????,"???Guiping???????????????????????????Samim???????????????????????-> ????? -> ????????????????????????
? ????
? ????
? UI??",????/??/??/UI,???,???????????????????Claude Code?????????????????????????,Gu,AM CM??,,??????+????+??????,??90%?????????????????,????W1-W2????????/??????????????????????,,???????????????????????/??????UAT????????,??2,????????
T046,Wave 1?A/C??? + SF/PMS/SO/KE30????,??????????????????????,??A-????,???CM???????????? -> ???-????-???-????????? by ?????? -> ??????,????/??,???,???????????????????Claude Code?????????????????????????,Junhe,CM??,19-Jun,??????+UAT??,?????????bug???????,????W1-W2????????/??????????????????????,,,??2,????????
T047,Wave 1?A/C??? + SF/PMS/SO/KE30????,??????????????????,??C-????,1 ?? ?????? ??,UI??,??,????????????????????????????????????????????,Junhe,CM??,8-Jun,??????+UAT??,?????????bug???????,????W1???GitHub????????????????,,,??3,????????
T048,Wave 1?A/C??? + SF/PMS/SO/KE30????,??????????????????,??C-????,2 ?? ??workon??,????/??,??,????????????????????????????????????????????,Junhe,CM??,8-Jun,??????+UAT??,?????????bug???????,????W1???GitHub????????????????,,,??3,????????
T049,Wave 1?A/C??? + SF/PMS/SO/KE30????,??????????????????,??C-????,3 ?? ????????,????,??,????????????????????????????????????????????,Junhe,CM??,8-Jun,??????+UAT??,?????????bug???????,????W1???GitHub????????????????,,,??3,????????
T050,Wave 4?????,???????????,??C-????,"???CM/SCP/???????????? -> CM???????????????
? ????
? ????",??/??/??,???,????????????????????????????????????????????,Gu,SCP CM??,,????+??????,?????????????,,??????SO/KE30?????RF????????????????????,???????????????????????????????UAT????,??3,????Wave4
T051,Wave 1?A/C??? + SF/PMS/SO/KE30????,??????????????????,??C-????,"???b???????????????b????????6???????RF2605for06???c?6?????RF2605for06????????????????????
? ???????RF??????
? ????RF?CF??",??/??/????,???,????????????????????????????????????????????,Gu,SCP CM??,,??????+??????,??????,????W1-W2????????/??????????????????????,,???????????????????????????????UAT????,??3,????????
T052,Wave 4?????,???????????,??C-????,????????????CM?????????2605for06???????????????,????/??,???,????????????????????????????????????????????,Gu,SCP CM??,,????+????,??????,,??????SO/KE30?????RF????????????????????,???????????????????????????????UAT????,??3,????Wave4
T053,Wave 2?D/B?????? ? ????,?????????????RF/Rolling forecast????????????,??B-MoM(RF) plan,1 ?? by ??? LT OTP???,??/???,??,?????????????????RF/Rolling forecast????????????????D?????????,,,,,,,,,??4,????????/??/UI??
T054,Wave 2?D/B?????? ? ????,?????????????RF/Rolling forecast????????????,??B-MoM(RF) plan,???????MB?????Rolling forecast??????????,????/UI??,??,?????????????????RF/Rolling forecast????????????????D?????????,,,,,,,,,??4,????????/??/UI??
T055,Wave 2?D/B?????? ? ????,?????????????RF/Rolling forecast????????????,??B-MoM(RF) plan,"???????CA??RF????????????????????????plan???????????????RF?????D????B?????B??????????D?
? ???? CM&Nina",??????,???,?????????????????RF/Rolling forecast????????????????D?????????,Gu,SCP CM??,19-Jun,RF????????????/???UI??????????????????,??????,??????W1-W2????????/UI/?????A/C???????????,??????RF???????CM/SCP/CA?????UI?????,"????????????????????????????
???????????????????/UI???????????",??4,????????/??/UI??
T056,Wave 2?D/B?????? ? ????,?????????????RF/Rolling forecast????????????,??B-MoM(RF) plan,"?1.b??CM???????????????????????????????????run rate?<=70%?????????????????????
? UI??",UI??/????,???,?????????????????RF/Rolling forecast????????????????D?????????,Gu,SCP CM??,19-Jun,RF????????????/???UI??????????????????,??????,??????W1-W2????????/UI/?????A/C???????????,??????RF???????CM/SCP/CA?????UI?????,"????????????????????????????
???????????????????/UI???????????",??4,????????/??/UI??
T057,Wave 2?D/B?????? ? ????,???????????????????UI??????????,??D-CF plan,1 ?? Quote by project??????????????,??/??,??,?????????????????CF Plan??/???????????????????UI???,,,,,,,,,??4,????????/??/UI??
T058,Wave 2?D/B?????? ? ????,???????????????????UI??????????,??D-CF plan,2 ?? CF???by Cost/??/PID ????????OTP,????/????,??,?????????????????CF Plan??/???????????????????UI???,,,,,,,,,??4,????????/??/UI??
T059,Wave 2?D/B?????? ? ????,???????????????????UI??????????,??D-CF plan,3 ?? ??LT OTP??OTP?,??/???,??,?????????????????CF Plan??/???????????????????UI???,,,,,,,,,??4,????????/??/UI??
T060,Wave 2?D/B?????? ? ????,???????????????????UI??????????,??D-CF plan,???????OTP CF??,????,???,?????????????????CF Plan??/???????????????????UI???,Gu,SCP??,12-Jun,RF????????????/???UI??????????????????,??????,??????W1-W2????????/UI/?????A/C???????????,??????CF Plan???????/??????A??????????,"??????????????????????????????UAT??
???????????????????/UI???????????",??4,????????/??/UI??
T061,Wave 2?D/B?????? ? ????,??A???????????/??????????????,??D-CF plan,??3 SCP??????+??+PID?+MCRL0???plan??????????????????PMS????????????XXX??,????/?????,???,????????A??????/??????????????????????????????,Gu,SCP??,12-Jun,RF????????????/???UI??????????????????,??????3??????????OK????GitHub??/?????Open???????????????,??????W1-W2????????/UI/?????A/C???????????,????????/??/PID???????????????????,"??????????????????????????????UAT??
???????????????????/UI???????????",??4,????????/??/UI??
T062,Wave 2?D/B?????? ? ????,???????????????????UI??????????,??D-CF plan,??2/3?????????????????????????????????????D??????A????,????/????,???,?????????????????CF Plan??/???????????????????UI???,Gu,SCP??,12-Jun,RF????????????/???UI??????????????????,??????,??????W1-W2????????/UI/?????A/C???????????,??????CF Plan???????/??????A??????????,"??????????????????????????????UAT??
???????????????????/UI???????????",??4,????????/??/UI??
T063,Wave 2?D/B?????? ? ????,???????????????????UI??????????,??D-CF plan,??4?topdown???????? - Gu????,Top-down????,???,?????????????????CF Plan??/???????????????????UI???,Gu,SCP??,12-Jun,RF????????????/???UI??????????????????,??????,??????W1-W2????????/UI/?????A/C???????????,??????CF Plan???????/??????A??????????,"??????????????????????????????UAT??
???????????????????/UI???????????",??4,????????/??/UI??
T064,Wave 2?D/B?????? ? ????,???????????????????UI??????????,??D-CF plan,BA?????????????????????CA???????????by?????????BAplan?????????F???????????BA cost????????????,BA??/???/??,???,????????????????????????F/Dashboard??????????????,Gu,SCP??,19-Jun,?????????????????F????????????????????,???????????????????????A/C???,??????W1-W2????????/UI/?????A/C???????????,?????????A/C?????Dashboard/???????,"??????????????????????????????UAT??
???????????????????/UI???????????",??4,????????/??/UI??
T065,Wave 2?D/B?????? ? ????,???????????????????UI??????????,??D-CF plan,?????????????,????/????,???,?????????????????CF Plan??/???????????????????UI???,Gu,SCP??,12-Jun,RF????????????/???UI??????????????????,????SCP/CM??????????2/3?????Top-down??????????????????,??????W1-W2????????/UI/?????A/C???????????,??????CF Plan???????/??????A??????????,"??????????????????????????????UAT??
???????????????????/UI???????????",??4,????????/??/UI??
T066,Wave 3???E???? + ??F Dashboard??,??????A/C????D/B???????????????????????????????,??F-Dashboard,"4 ??LT OTP?SE3????????PID???SOP yr?1st=SOP yr - 6m, ... +=1y
a. ????SE3???????
b. ??????????
=> ???A????F",Dashboard????,???,??????????A/C/D/B/E???????????????????????????,Gu,SCP Admin,,????Dashboard?????????????SE3??????????CA?????,????CA??Dashboard????????????????????????????,????W3????????A/C?D/B?????????E????????,??????A/C/D/B/E?????????CA Dashboard?????,"?????????????????????????
????Dashboard????????????E/?????????",??5,??????E/F??????
T067,Wave 3???E???? + ??F Dashboard??,??????A/C????D/B???????????????????????????????,??F-Dashboard,???????Dashboard??????CA,Dashboard????,???,??????????A/C/D/B/E???????????????????????????,Gu,CA,,????Dashboard?????????????SE3??????????CA?????,????CA??Dashboard????????????????????????????,????W3????????A/C?D/B?????????E????????,??????A/C/D/B/E?????????CA Dashboard?????,"?????????????????????????
????Dashboard????????????E/?????????",??5,??????E/F??????
T068,Wave 3???E???? + ??F Dashboard??,??????A/C????D/B???????????????????????????????,??E-????,???CA/SCP?? ??????? - Nina,????/????,???,?????????????????????????????????????????????????????/??????,Gu,CA / SCP / Nina,,??????????????????????????????????????????/??????,CA/SCP????????????????????????????????????????????????,????Wave 3???1???????,??????E003???????????????????????CA/SCP???????????,?????????????????????????????????????/??/???????,??????-??E,????Wave3?????????
T069,Wave 3???E???? + ??F Dashboard??,??????A/C????D/B???????????????????????????????,??E-????,????SO???????????????,????/????,???,???????????????????????????????????SO?Invoice??KE30???????????,Junhe,SCP / CM,,??E?????????????SO???????????????????????????,????3??????????E?????SO?????????????C/???????????????,????Wave 3?1-2???????C?SO/KE30??????,????C????????SO?????KE30?Invoice?????????,??????????????????????????????SO?Invoice?KE30???,??????-??E,????A/C?SO/KE30?????
T070,Wave 3???E???? + ??F Dashboard??,??????A/C????D/B???????????????????????????????,??E-????,??????????????????????? ????????????,????/????,???,????????E?????????????????????????????????????????Dashboard???,Gu,SCP / CA,,???????????????????????????????????????????????CF???????/SO/??????,??????????????????????????????????????????????Dashboard???,????Wave 3?1???????????E006??,???????????????PAO???????????CF/MB???,????????E??????????E001?????E006?????E007?????,??????-??E,????Wave3??????????
T071,Wave 3???E???? + ??F Dashboard??,??????A/C????D/B???????????????????????????????,??E-????,??????CF release??,????/????,???,?????????????E?????????D?CF Plan Release???????????????????????????,Gu,SCP / CA,,????????????????????????????/????????????CF Release????,CF Release??????????????????????????/????????????Dashboard?????,????Wave 3?2-3??????D?CF Release????,????D CF Plan?????CF?????E003???????,???????????????????????????D???????????,??????-??E,????D????
T074,Wave 3???E???? + ??F Dashboard??,??????A/C????D/B???????????????????????????????,??E-????,?????????E?Dashboard/CF Actual??????,??/UAT/????,???,??????E???????F?????????F??????????????????,Junhe,CA / SCP,,?????????????????????PAO??????????????CF Actual?MB Actual?Dashboard????,???CF Actual?MB Actual?Dashboard?????????CA/SCP????3??????,????Wave 3??????F Dashboard????,????F Dashboard???E003?????E004?????,???????????????????????????????,????E????,???F????
